Year	Rd	Pk	Tm	Player
1989	1	25	CLE	John Morton
1989	1	26	LAL	Vlade Divac
1989	1	27	DET	Kenny Battle
1989	2	28	MIA	Sherman Douglas
1989	2	29	CHH	Dyron Nix
1989	2	30	MIL	Frank Kornet
1989	2	31	LAC	Jeff Martin
1989	2	32	NJN	Stanley Brundy
1989	2	33	LAC	Jay Edwards
1989	2	34	MIN	Gary Leonard
1989	2	35	DAL	Pat Durham
1989	2	36	POR	Clifford Robinson
1989	2	37	ORL	Michael Ansley
1989	2	38	MIN	Doug West
1989	2	39	WSB	Ed Horton
1989	2	40	BOS	Dino Radja
1989	2	41	WSB	Doug Roth
1989	2	42	DEN	Michael Cutright
1989	2	43	CLE	Chucky Brown
1989	2	44	PHI	Reggie Cross
1989	2	45	MIA	Scott Haffner
1989	2	46	PHO	Ricky Blanton
1989	2	47	DEN	Reggie Turner
1989	2	48	UTA	Junie Lewis
1989	2	49	ATL	Haywoode Workman
1989	2	50	NYK	Brian Quinnett
1990	1	1	NJN	Derrick Coleman
1990	1	2	SEA	Gary Payton
1990	1	3	DEN	Mahmoud Abdul-Rauf
1990	1	4	ORL	Dennis Scott
1990	1	5	CHH	Kendall Gill
1990	1	6	MIN	Felton Spencer
1990	1	7	SAC	Lionel Simmons
1990	1	8	LAC	Bo Kimble
1990	1	9	MIA	Willie Burton
1990	1	10	ATL	Rumeal Robinson
1990	1	11	GSW	Tyrone Hill
1990	1	12	HOU	Alec Kessler
1990	1	13	LAC	Loy Vaught
1990	1	14	SAC	Travis Mays
1990	1	15	MIA	Dave Jamerson
1990	1	16	MIL	Terry Mills
1990	1	17	NYK	Jerrod Mustaf
1990	1	18	SAC	Duane Causwell
1990	1	19	BOS	Dee Brown
1990	1	20	MIN	Gerald Glass
1990	1	21	PHO	Jayson Williams
1990	1	22	NJN	Tate George
1990	1	23	SAC	Anthony Bonner
1990	1	24	SAS	Dwayne Schintzius
1990	1	25	POR	Alaa Abdelnaby
1990	1	26	DET	Lance Blanks
1990	1	27	LAL	Elden Campbell
1990	2	28	GSW	Les Jepsen
1990	2	29	CHI	Toni Kukoc
1990	2	30	MIA	Carl Herrera
1990	2	31	PHO	Negele Knight
1990	2	32	PHI	Brian Oliver
1990	2	33	UTA	Walter Palmer
1990	2	34	GSW	Kevin Pritchard
1990	2	35	WSB	Greg Foster
1990	2	36	ATL	Trevor Wilson
1990	2	37	WSB	A.J. English
1990	2	38	SEA	Jud Buechler
1990	2	39	CHH	Steve Scheffler
1990	2	40	SAC	Bimbo Coles
1990	2	41	ATL	Steve Bardo
1990	2	42	DEN	Marcus Liberty
1990	2	43	SAS	Tony Massenburg
1990	2	44	MIL	Steve Henson
1990	2	45	IND	Antonio Davis
1990	2	46	IND	Kenny Williams
1990	2	47	PHI	Derek Strong
1990	2	48	PHO	Cedric Ceballos
1990	2	49	DAL	Phil Henderson
1990	2	50	PHO	Milos Babic
1991	1	1	CHH	Larry Johnson
1991	1	2	NJN	Kenny Anderson
1991	1	3	SAC	Billy Owens
1991	1	4	DEN	Dikembe Mutombo
1991	1	5	MIA	Steve Smith
1991	1	6	DAL	Doug Smith
1991	1	7	MIN	Luc Longley
1991	1	8	DEN	Mark Macon
1991	1	9	ATL	Stacey Augmon
1991	1	10	ORL	Bison Dele
1991	1	11	CLE	Terrell Brandon
1991	1	12	NYK	Greg Anthony
1991	1	13	IND	Dale Davis
1991	1	14	SEA	Rich King
1991	1	15	ATL	Anthony Avent
1991	1	16	GSW	Chris Gatling
1991	1	17	GSW	Victor Alexander
1991	1	18	MIL	Kevin Brooks
1991	1	19	WSB	LaBradford Smith
1991	1	20	HOU	John Turner
1991	1	21	UTA	Eric Murdock
1991	1	22	LAC	LeRon Ellis
1991	1	23	ORL	Stanley Roberts
1991	1	24	BOS	Rick Fox
1991	1	25	GSW	Shaun Vandiver
1991	1	26	CHI	Mark Randall
1991	1	27	SAC	Pete Chilcutt
1991	2	28	CHH	Kevin Lynch
1991	2	29	MIA	George Ackles
1991	2	30	ATL	Rodney Monroe
1991	2	31	SAC	Randy Brown
1991	2	32	PHO	Chad Gallagher
1991	2	33	DAL	Donald Hodge
1991	2	34	MIN	Myron Brown
1991	2	35	DAL	Mike Iuzzolino
1991	2	36	ORL	Chris Corchiani
1991	2	37	LAC	Elliot Perry
1991	2	38	LAC	Joe Wylie
1991	2	39	CLE	Jimmy Oliver
1991	2	40	DET	Doug Overton
1991	2	41	IND	Sean Green
1991	2	42	SAC	Steve Hood
1991	2	43	GSW	Lamont Strothers
1991	2	44	PHI	Alvaro Teheran
1991	2	45	MIL	Bobby Phills
1991	2	46	PHO	Richard Dumas
1991	2	47	HOU	Keith Hughes
1991	2	48	UTA	Isaac Austin
1991	2	49	SAS	Greg Sutton
1991	2	50	PHO	Joey Wright
1992	1	1	ORL	Shaquille ONeal
1992	1	2	CHH	Alonzo Mourning
1992	1	3	MIN	Christian Laettner
1992	1	4	DAL	Jim Jackson
1992	1	5	DEN	LaPhonso Ellis
1992	1	6	WSB	Tom Gugliotta
1992	1	7	SAC	Walt Williams
1992	1	8	MIL	Todd Day
1992	1	9	PHI	Clarence Weatherspoon
1992	1	10	ATL	Adam Keefe
1992	1	11	HOU	Robert Horry
1992	1	12	MIA	Harold Miner
1992	1	13	DEN	Bryant Stith
1992	1	14	IND	Malik Sealy
1992	1	15	LAL	Anthony Peeler
1992	1	16	LAC	Randy Woods
1992	1	17	SEA	Doug Christie
1992	1	18	SAS	Tracy Murray
1992	1	19	DET	Don MacLean
1992	1	20	NYK	Hubert Davis
1992	1	21	BOS	Jon Barry
1992	1	22	PHO	Oliver Miller
1992	1	23	MIL	Lee Mayberry
1992	1	24	GSW	Latrell Sprewell
1992	1	25	LAC	Elmore Spencer
1992	1	26	POR	Dave Johnson
1992	1	27	CHI	Byron Houston
1992	2	28	MIN	Marlon Maxey
1992	2	29	NJN	P.J. Brown
1992	2	30	DAL	Sean Rooks
1992	2	31	POR	Reggie Smith
1992	2	32	WSB	Brent Price
1992	2	33	CHI	Corey Williams
1992	2	34	MIN	Chris Smith
1992	2	35	CHH	Tony Bennett
1992	2	36	LAL	Duane Cooper
1992	2	37	MIA	Isaiah Morris
1992	2	38	ATL	Elmer Bennett
1992	2	39	CHI	Litterial Green
1992	2	40	NJN	Steve Rogers
1992	2	41	HOU	Popeye Jones
1992	2	42	MIA	Matt Geiger
1992	2	43	GSW	Sasha Danilovic
1992	2	44	SAS	Henry Williams
1992	2	45	SEA	Chris King
1992	2	46	DEN	Robert Werdann
1992	2	47	BOS	Darren Morningstar
1992	2	48	PHO	Brian Davis
1992	2	49	PHO	Ron Ellis
1992	2	50	GSW	Matt Fish
1993	1	1	ORL	Chris Webber
1993	1	2	PHI	Shawn Bradley
1993	1	3	GSW	Anfernee Hardaway
1993	1	4	DAL	Jamal Mashburn
1993	1	5	MIN	Isaiah Rider
1993	1	6	WSB	Calbert Cheaney
1993	1	7	SAC	Bobby Hurley
1993	1	8	MIL	Vin Baker
1993	1	9	DEN	Rodney Rogers
1993	1	10	DET	Lindsey Hunter
1993	1	11	DET	Allan Houston
1993	1	12	LAL	George Lynch
1993	1	13	LAC	Terry Dehere
1993	1	14	IND	Scott Haskin
1993	1	15	ATL	Doug Edwards
1993	1	16	NJN	Rex Walters
1993	1	17	CHH	Greg Graham
1993	1	18	UTA	Luther Wright
1993	1	19	BOS	Acie Earl
1993	1	20	CHH	Scott Burrell
1993	1	21	POR	James Robinson
1993	1	22	CLE	Chris Mills
1993	1	23	SEA	Ervin Johnson
1993	1	24	HOU	Sam Cassell
1993	1	25	CHI	Corie Blount
1993	1	26	ORL	Geert Hammink
1993	1	27	PHO	Malcolm Mackey
1993	2	28	DAL	Lucious Harris
1993	2	29	MIN	Sherron Mills
1993	2	30	WSB	Gheorghe Muresan
1993	2	31	SAC	Evers Burns
1993	2	32	PHI	Alphonso Ford
1993	2	33	DAL	Eric Riley
1993	2	34	GSW	Darnell Mee
1993	2	35	MIA	Ed Stokes
1993	2	36	NJN	John Best
1993	2	37	LAL	Nick Van Exel
1993	2	38	WSB	Conrad McRae
1993	2	39	IND	Thomas Hill
1993	2	40	ATL	Rich Manning
1993	2	41	CHI	Anthony Reed
1993	2	42	SEA	Adonis Jordan
1993	2	43	DEN	Josh Grant
1993	2	44	SAC	Alex Holcombe
1993	2	45	UTA	Bryon Russell
1993	2	46	HOU	Richard Petruska
1993	2	47	SAS	Chris Whitney
1993	2	48	POR	Kevin Thompson
1993	2	49	PHO	Mark Buford
1993	2	50	HOU	Marcelo Nicola
1994	1	1	MIL	Glenn Robinson
1994	1	2	DAL	Jason Kidd
1994	1	3	DET	Grant Hill
1994	1	4	MIN	Donyell Marshall
1994	1	5	WSB	Juwan Howard
1994	1	6	PHI	Sharone Wright
1994	1	7	LAC	Lamond Murray
1994	1	8	SAC	Brian Grant
1994	1	9	BOS	Eric Montross
1994	1	10	LAL	Eddie Jones
1994	1	11	SEA	Carlos Rogers
1994	1	12	MIA	Khalid Reeves
1994	1	13	DEN	Jalen Rose
1994	1	14	NJN	Yinka Dare
1994	1	15	IND	Eric Piatkowski
1994	1	16	GSW	Clifford Rozier
1994	1	17	POR	Aaron McKie
1994	1	18	MIL	Eric Mobley
1994	1	19	DAL	Tony Dumas
1994	1	20	PHI	B.J. Tyler
1994	1	21	CHI	Dickey Simpkins
1994	1	22	SAS	Bill Curley
1994	1	23	PHO	Wesley Person
1994	1	24	NYK	Monty Williams
1994	1	25	LAC	Greg Minor
1994	1	26	NYK	Charlie Ward
1994	1	27	ORL	Brooks Thompson
1994	2	28	DAL	Deon Thomas
1994	2	29	PHO	Antonio Lang
1994	2	30	MIN	Howard Eisley
1994	2	31	ORL	Rodney Dent
1994	2	32	WSB	Jim McIlvaine
1994	2	33	PHI	Derrick Alston
1994	2	34	ATL	Gaylon Nickerson
1994	2	35	SAC	Michael Smith2
1994	2	36	BOS	Andrei Fetisov
1994	2	37	SEA	Dontonio Wingfield
1994	2	38	CHH	Darrin Hancock
1994	2	39	GSW	Anthony Miller
1994	2	40	MIA	Jeff Webster
1994	2	41	IND	William Njoku
1994	2	42	CLE	Gary Collier
1994	2	43	POR	Shawnelle Scott
1994	2	44	IND	Damon Bailey
1994	2	45	GSW	Dwayne Morton
1994	2	46	MIL	Voshon Lenard
1994	2	47	UTA	Jamie Watson
1994	2	48	DET	Jevon Crudup
1994	2	49	CHI	Kris Bruton
1994	2	50	PHO	Charles Claxton
1995	1	1	GSW	Joe Smith
1995	1	2	LAC	Antonio McDyess
1995	1	3	PHI	Jerry Stackhouse
1995	1	4	WSB	Rasheed Wallace
1995	1	5	MIN	Kevin Garnett
1995	1	6	VAN	Bryant Reeves
1995	1	7	TOR	Damon Stoudamire
1995	1	8	POR	Shawn Respert
1995	1	9	NJN	Ed OBannon
1995	1	10	MIA	Kurt Thomas
1995	1	11	MIL	Gary Trent
1995	1	12	DAL	Cherokee Parks
1995	1	13	SAC	Corliss Williamson
1995	1	14	BOS	Eric Williams
1995	1	15	DEN	Brent Barry
1995	1	16	ATL	Alan Henderson
1995	1	17	CLE	Bob Sura
1995	1	18	DET	Theo Ratliff
1995	1	19	DET	Randolph Childress
1995	1	20	CHI	Jason Caffey
1995	1	21	PHO	Michael Finley
1995	1	22	CHH	George Zidek
1995	1	23	IND	Travis Best
1995	1	24	DAL	Loren Meyer
1995	1	25	ORL	David Vaughn
1995	1	26	SEA	Sherell Ford
1995	1	27	PHO	Mario Bennett
1995	1	28	UTA	Greg Ostertag
1995	1	29	SAS	Cory Alexander
1995	2	30	DET	Lou Roe
1995	2	31	CHI	Dragan Tarlac
1995	2	32	WSB	Terrence Rencher
1995	2	33	BOS	Junior Burrough
1995	2	34	GSW	Andrew DeClercq
1995	2	35	TOR	Jimmy King
1995	2	36	VAN	Lawrence Moten
1995	2	37	LAL	Frankie King
1995	2	38	MIL	Rashard Griffith
1995	2	39	CLE	Donny Marshall
1995	2	40	GSW	Dwayne Whitfield
1995	2	41	HOU	Erik Meek
1995	2	42	ATL	Donnie Boyce
1995	2	43	MIL	Eric Snow
1995	2	44	DEN	Anthony Pelle
1995	2	45	ATL	Troy Brown
1995	2	46	MIA	George Banks
1995	2	47	SAC	Tyus Edney
1995	2	48	MIN	Mark Davis
1995	2	49	MIN	Jerome Allen
1995	2	50	GSW	Martin Lewis
1996	1	1	PHI	Allen Iverson
1996	1	2	TOR	Marcus Camby
1996	1	3	VAN	Shareef Abdur-Rahim
1996	1	4	MIL	Stephon Marbury
1996	1	5	MIN	Ray Allen
1996	1	6	BOS	Antoine Walker
1996	1	7	LAC	Lorenzen Wright
1996	1	8	NJN	Kerry Kittles
1996	1	9	DAL	Samaki Walker
1996	1	10	IND	Erick Dampier
1996	1	11	GSW	Todd Fuller
1996	1	12	CLE	Vitaly Potapenko
1996	1	13	CHH	Kobe Bryant
1996	1	14	SAC	Peja Stojakovic
1996	1	15	PHO	Steve Nash
1996	1	16	CHH	Tony Delk
1996	1	17	POR	Jermaine ONeal
1996	1	18	NYK	John Wallace
1996	1	19	NYK	Walter McCarty
1996	1	20	CLE	Zydrunas Ilgauskas
1996	1	21	NYK	Dontae Jones
1996	1	22	VAN	Roy Rogers
1996	1	23	DEN	Efthimi Rentzias
1996	1	24	LAL	Derek Fisher
1996	1	25	UTA	Martin Muursepp
1996	1	26	DET	Jerome Williams
1996	1	27	ORL	Brian Evans
1996	1	28	ATL	Priest Lauderdale
1996	1	29	CHI	Travis Knight
1996	2	30	HOU	Othella Harrington
1996	2	31	PHI	Mark Hendrickson
1996	2	32	PHI	Ryan Minor
1996	2	33	MIL	Moochie Norris
1996	2	34	DAL	Shawn Harvey
1996	2	35	SEA	Joseph Blair
1996	2	36	LAC	Doron Sheffer
1996	2	37	DEN	Jeff McInnis
1996	2	38	BOS	Steve Hamer
1996	2	39	PHO	Russ Millard
1996	2	40	GSW	Marcus Mann
1996	2	41	SAC	Jason Sasser
1996	2	42	HOU	Randy Livingston
1996	2	43	PHO	Ben Davis
1996	2	44	CHH	Malik Rose
1996	2	45	SEA	Joe Vogel
1996	2	46	POR	Marcus Brown
1996	2	47	SEA	Ron Riley
1996	2	48	PHI	Jamie Feick
1996	2	49	ORL	Amal McCaskill
1996	2	50	HOU	Terrell Bell
1997	1	1	SAS	Tim Duncan
1997	1	2	PHI	Keith Van Horn
1997	1	3	BOS	Chauncey Billups
1997	1	4	VAN	Antonio Daniels
1997	1	5	DEN	Tony Battie
1997	1	6	BOS	Ron Mercer
1997	1	7	NJN	Tim Thomas
1997	1	8	GSW	Adonal Foyle
1997	1	9	TOR	Tracy McGrady
1997	1	10	MIL	Danny Fortson
1997	1	11	SAC	Tariq Abdul-Wahad
1997	1	12	IND	Austin Croshere
1997	1	13	CLE	Derek Anderson
1997	1	14	LAC	Maurice Taylor
1997	1	15	DAL	Kelvin Cato
1997	1	16	CLE	Brevin Knight
1997	1	17	ORL	Johnny Taylor
1997	1	18	POR	Chris Anstey
1997	1	19	DET	Scot Pollard
1997	1	20	MIN	Paul Grant
1997	1	21	NJN	Anthony Parker
1997	1	22	ATL	Ed Gray
1997	1	23	SEA	Bobby Jackson
1997	1	24	HOU	Rodrick Rhodes
1997	1	25	NYK	John Thomas
1997	1	26	MIA	Charles Smith3
1997	1	27	UTA	Jacque Vaughn
1997	1	28	CHI	Keith Booth
1997	2	29	HOU	Serge Zwikker
1997	2	30	MIA	Mark Sanford
1997	2	31	DET	Charles OBannon
1997	2	32	DEN	James Cotton
1997	2	33	PHI	Marko Milic
1997	2	34	DAL	Bubba Wells
1997	2	35	PHI	Kebu Stewart
1997	2	36	PHI	James Collins
1997	2	37	GSW	Marc Jackson
1997	2	38	MIL	Jerald Honeycutt
1997	2	39	SAC	Anthony Johnson
1997	2	40	SEA	Eddie Elisma
1997	2	41	DEN	Jason Lawson
1997	2	42	PHO	Stephen Jackson
1997	2	43	MIN	Gordon Malone
1997	2	44	CLE	Cedric Henderson
1997	2	45	WAS	God Shammgod
1997	2	46	ORL	Eric Washington
1997	2	47	POR	Alvin Williams
1997	2	48	WAS	Predrag Drobnjak
1997	2	49	ATL	Alain Digbeu
1997	2	50	ATL	Chris Crawford
1998	1	1	LAC	Michael Olowokandi
1998	1	2	VAN	Mike Bibby
1998	1	3	DEN	Raef LaFrentz
1998	1	4	TOR	Antawn Jamison
1998	1	5	GSW	Vince Carter
1998	1	6	DAL	Robert Traylor
1998	1	7	SAC	Jason Williams
1998	1	8	PHI	Larry Hughes
1998	1	9	MIL	Dirk Nowitzki
1998	1	10	BOS	Paul Pierce
1998	1	11	DET	Bonzi Wells
1998	1	12	ORL	Michael Doleac
1998	1	13	ORL	Keon Clark
1998	1	14	HOU	Michael Dickerson
1998	1	15	ORL	Matt Harpring
1998	1	16	HOU	Bryce Drew
1998	1	17	MIN	Rasho Nesterovic
1998	1	18	HOU	Mirsad Turkcan
1998	1	19	MIL	Pat Garrity
1998	1	20	ATL	Roshown McLeod
1998	1	21	CHH	Ricky Davis
1998	1	22	LAC	Brian Skinner
1998	1	23	DEN	Tyronn Lue
1998	1	24	SAS	Felipe Lopez
1998	1	25	IND	Al Harrington
1998	1	26	LAL	Sam Jacobson
1998	1	27	SEA	Vladimir Stepania
1998	1	28	CHI	Corey Benjamin
1998	1	29	UTA	Nazr Mohammed
1998	2	30	DAL	Ansu Sesay
1998	2	31	LAL	Ruben Patterson
1998	2	32	SEA	Rashard Lewis
1998	2	33	SEA	Jelani McCoy
1998	2	34	CHI	Shammond Williams
1998	2	35	DAL	Bruno Sundov
1998	2	36	SAC	Jerome James
1998	2	37	PHI	Casey Shaw
1998	2	38	NYK	DeMarco Johnson
1998	2	39	MIL	Rafer Alston
1998	2	40	DET	Korleone Young
1998	2	41	HOU	Cuttino Mobley
1998	2	42	ORL	Miles Simon
1998	2	43	WAS	Jahidi White
1998	2	44	NYK	Sean Marks
1998	2	45	LAL	Toby Bailey
1998	2	46	MIN	Andrae Patterson
1998	2	47	TOR	Tyson Wheeler
1998	2	48	CLE	Ryan Stack
1998	2	49	ATL	Cory Carr
1998	2	50	CHH	Andrew Betts
1999	1	1	CHI	Elton Brand
1999	1	2	VAN	Steve Francis
1999	1	3	CHH	Baron Davis
1999	1	4	LAC	Lamar Odom
1999	1	5	TOR	Jonathan Bender
1999	1	6	MIN	Wally Szczerbiak
1999	1	7	WAS	Richard Hamilton
1999	1	8	CLE	Andre Miller
1999	1	9	PHO	Shawn Marion
1999	1	10	ATL	Jason Terry
1999	1	11	CLE	Trajan Langdon
1999	1	12	TOR	Aleksandar Radojevic
1999	1	13	SEA	Corey Maggette
1999	1	14	MIN	William Avery
1999	1	15	NYK	Frederic Weis
1999	1	16	CHI	Metta World Peace
1999	1	17	ATL	Cal Bowdler
1999	1	18	DEN	James Posey
1999	1	19	UTA	Quincy Lewis
1999	1	20	ATL	Dion Glover
1999	1	21	GSW	Jeff Foster
1999	1	22	HOU	Kenny Thomas
1999	1	23	LAL	Devean George
1999	1	24	UTA	Andrei Kirilenko
1999	1	25	MIA	Tim James
1999	1	26	IND	Vonteego Cummings
1999	1	27	ATL	Jumaine Jones
1999	1	28	UTA	Scott Padgett
1999	1	29	SAS	Leon Smith
1999	2	30	LAL	John Celestand
1999	2	31	LAC	Rico Hill
1999	2	32	CHI	Michael Ruffin
1999	2	33	DEN	Chris Herren
1999	2	34	NJN	Evan Eschmeyer
1999	2	35	WAS	Calvin Booth
1999	2	36	DAL	Wang Zhizhi
1999	2	37	VAN	Obinna Ekezie
1999	2	38	ORL	Laron Profit
1999	2	39	CLE	A.J. Bramlett
1999	2	40	DAL	Gordan Giricek
1999	2	41	DEN	Francisco Elson
1999	2	42	MIN	Louis Bullock
1999	2	43	CHH	Lee Nailon
1999	2	44	HOU	Tyrone Washington
1999	2	45	SAC	Ryan Robertson
1999	2	46	NYK	J.R. Koch
1999	2	47	PHI	Todd MacCulloch
1999	2	48	MIL	Galen Young
1999	2	49	CHI	Lari Ketner
1999	2	50	HOU	Venson Hamilton
2000	1	1	NJN	Kenyon Martin
2000	1	2	VAN	Stromile Swift
2000	1	3	LAC	Darius Miles
2000	1	4	CHI	Marcus Fizer
2000	1	5	ORL	Mike Miller
2000	1	6	ATL	DerMarr Johnson
2000	1	7	CHI	Chris Mihm
2000	1	8	CLE	Jamal Crawford
2000	1	9	HOU	Joel Przybilla
2000	1	10	ORL	Keyon Dooling
2000	1	11	BOS	Jerome Moiso
2000	1	12	DAL	Etan Thomas
2000	1	13	ORL	Courtney Alexander
2000	1	14	DET	Mateen Cleaves
2000	1	15	MIL	Jason Collier
2000	1	16	SAC	Hedo Turkoglu
2000	1	17	SEA	Desmond Mason
2000	1	18	LAC	Quentin Richardson
2000	1	19	CHH	Jamaal Magloire
2000	1	20	PHI	Speedy Claxton
2000	1	21	TOR	Morris Peterson
2000	1	22	NYK	Donnell Harvey
2000	1	23	UTA	DeShawn Stevenson
2000	1	24	CHI	Dalibor Bagaric
2000	1	25	PHO	Jake Tsakalidis
2000	1	26	DEN	Mamadou NDiaye
2000	1	27	IND	Primoz Brezec
2000	1	28	POR	Erick Barkley
2000	1	29	LAL	Mark Madsen
2000	2	30	LAC	Marko Jaric
2000	2	31	DAL	Dan Langhi
2000	2	32	CHI	A.J. Guyton
2000	2	33	CHI	Jake Voskuhl
2000	2	34	CHI	Khalid El-Amin
2000	2	35	WAS	Mike Smith
2000	2	36	NJN	Soumaila Samake
2000	2	37	MIA	Eddie House
2000	2	38	HOU	Eduardo Najera
2000	2	39	NYK	Lavor Postell
2000	2	40	ATL	Hanno Mottola
2000	2	41	SAS	Chris Carrawell
2000	2	42	SEA	Olumide Oyedeji
2000	2	43	MIL	Michael Redd
2000	2	44	DET	Brian Cardinal
2000	2	45	SAC	Jabari Smith
2000	2	46	TOR	DeeAndre Hulett
2000	2	47	SEA	Josip Sesar
2000	2	48	PHI	Mark Karcher
2000	2	49	MIL	Jason Hart
2000	2	50	UTA	Kaniel Dickens
2001	1	1	WAS	Kwame Brown
2001	1	2	LAC	Tyson Chandler
2001	1	3	ATL	Pau Gasol
2001	1	4	CHI	Eddy Curry
2001	1	5	GSW	Jason Richardson
2001	1	6	MEM	Shane Battier
2001	1	7	NJN	Eddie Griffin
2001	1	8	CLE	DeSagana Diop
2001	1	9	DET	Rodney White
2001	1	10	BOS	Joe Johnson
2001	1	11	BOS	Kedrick Brown
2001	1	12	SEA	Vladimir Radmanovic
2001	1	13	HOU	Richard Jefferson
2001	1	14	GSW	Troy Murphy
2001	1	15	ORL	Steven Hunter
2001	1	16	CHH	Kirk Haston
2001	1	17	TOR	Michael Bradley
2001	1	18	HOU	Jason Collins
2001	1	19	POR	Zach Randolph
2001	1	20	CLE	Brendan Haywood
2001	1	21	BOS	Joseph Forte
2001	1	22	ORL	Jeryl Sasser
2001	1	23	HOU	Brandon Armstrong
2001	1	24	UTA	Raul Lopez
2001	1	25	SAC	Gerald Wallace
2001	1	26	PHI	Samuel Dalembert
2001	1	27	MEM	Jamaal Tinsley
2001	1	28	SAS	Tony Parker
2001	2	30	CHI	Trenton Hassell
2001	2	31	GSW	Gilbert Arenas
2001	2	32	ORL	Omar Cook
2001	2	33	MEM	Will Solomon
2001	2	34	ATL	Terence Morris
2001	2	35	NJN	Brian Scalabrine
2001	2	36	CLE	Jeff Trepagnier
2001	2	37	PHI	Damone Brown
2001	2	38	DET	Mehmet Okur
2001	2	39	NYK	Michael Wright
2001	2	40	SEA	Earl Watson
2001	2	41	IND	Jamison Brewer
2001	2	42	SEA	Bobby Simmons
2001	2	43	NYK	Eric Chenowith
2001	2	44	DAL	Kyle Hill
2001	2	45	CHI	Sean Lampley
2001	2	46	MIN	Loren Woods
2001	2	47	DEN	Ousmane Cisse
2001	2	48	MEM	Antonis Fotsis
2001	2	49	MIA	Ken Johnson
2001	2	50	POR	Ruben Boumtje-Boumtje
2002	1	1	HOU	Yao Ming
2002	1	2	CHI	Jay Williams
2002	1	3	GSW	Mike Dunleavy
2002	1	4	MEM	Drew Gooden
2002	1	5	DEN	Nikoloz Tskitishvili
2002	1	6	CLE	Dajuan Wagner
2002	1	7	NYK	Nene Hilario
2002	1	8	LAC	Chris Wilcox
2002	1	9	PHO	Amare Stoudemire
2002	1	10	MIA	Caron Butler
2002	1	11	WAS	Jared Jeffries
2002	1	12	LAC	Melvin Ely
2002	1	13	MIL	Marcus Haislip
2002	1	14	IND	Fred Jones
2002	1	15	HOU	Bostjan Nachbar
2002	1	16	PHI	Jiri Welsch
2002	1	17	WAS	Juan Dixon
2002	1	18	ORL	Curtis Borchardt
2002	1	19	UTA	Ryan Humphrey
2002	1	20	TOR	Kareem Rush
2002	1	21	POR	Qyntel Woods
2002	1	22	PHO	Casey Jacobsen
2002	1	23	DET	Tayshaun Prince
2002	1	24	NJN	Nenad Krstic
2002	1	25	DEN	Frank Williams
2002	1	26	SAS	John Salmons
2002	1	27	LAL	Chris Jefferies
2002	1	28	SAC	Dan Dickau
2002	2	29	GSW	Steve Logan
2002	2	30	CHI	Roger Mason
2002	2	31	MEM	Robert Archibald
2002	2	32	DEN	Vincent Yarbrough
2002	2	33	MIL	Dan Gadzuric
2002	2	34	CLE	Carlos Boozer
2002	2	35	NYK	Milos Vujanic
2002	2	36	ATL	David Andersen
2002	2	37	HOU	Tito Maddox
2002	2	38	WAS	Rod Grizzard
2002	2	39	WAS	Juan Carlos Navarro
2002	2	40	LAC	Mario Kasun
